detector,condition,s1,s2,s3,s4,s5,mean,sd,delta,p_adj,dz
YOLOv6,real,70.8,71.2,70.5,71.0,70.9,70.88,0.26,,,
YOLOv6,mixed,73.0,74.6,72.4,74.1,73.3,73.48,0.88,2.6,0.0022,4.14
YOLOv7,real,72.1,72.5,71.9,72.4,72.2,72.22,0.24,,,
YOLOv7,mixed,74.0,75.7,74.5,74.6,75.3,74.82,0.68,2.6,0.0021,4.63
YOLOv8,real,74.0,74.4,73.8,74.2,74.5,74.18,0.29,,,
YOLOv8,mixed,76.8,76.5,77.0,76.7,77.8,76.96,0.5,2.78,0.0019,5.59
YOLOv9,real,75.2,75.6,75.0,75.5,75.3,75.32,0.24,,,
YOLOv9,mixed,77.3,78.9,77.8,77.4,78.5,77.98,0.7,2.66,0.0022,4.19
YOLOv10,real,76.0,76.5,75.8,76.3,76.2,76.16,0.27,,,
YOLOv10,mixed,78.6,78.3,79.0,78.4,79.5,78.76,0.49,2.6,0.0022,3.94
YOLOv11,real,76.8,77.2,76.5,77.0,77.1,76.92,0.28,,,
YOLOv11,mixed,79.0,80.4,79.2,79.0,80.0,79.52,0.64,2.6,0.0021,5.25
YOLOv12,real,77.3,77.8,77.1,77.6,77.5,77.46,0.27,,,
YOLOv12,mixed,79.9,80.0,80.4,79.7,80.7,80.14,0.4,2.68,0.0021,4.84
YOLOv13,real,78.0,78.5,77.8,78.3,78.2,78.16,0.27,,,
YOLOv13,mixed,80.1,81.8,80.5,80.6,81.4,80.88,0.7,2.72,0.0021,5.12
